order_item_id,order_id,sku_id,quantity
ORI0000001,ORD000001,SKU01152,3
ORI0000002,ORD000001,SKU01044,1
ORI0000003,ORD000001,SKU01110,3
ORI0000004,ORD000001,SKU01197,3
ORI0000005,ORD000002,SKU01055,4
ORI0000006,ORD000002,SKU01116,5
ORI0000007,ORD000002,SKU01019,2
ORI0000008,ORD000002,SKU01124,5
ORI0000009,ORD000003,SKU01038,3
ORI0000010,ORD000003,SKU01172,2
ORI0000011,ORD000003,SKU01017,3
ORI0000012,ORD000004,SKU01038,2
ORI0000013,ORD000004,SKU01146,5
ORI0000014,ORD000004,SKU01152,3
ORI0000015,ORD000005,SKU01003,1
ORI0000016,ORD000005,SKU01158,2
ORI0000017,ORD000005,SKU01100,1
ORI0000018,ORD000005,SKU01155,2
ORI0000019,ORD000006,SKU01061,5
ORI0000020,ORD000006,SKU01043,2
ORI0000021,ORD000006,SKU01178,1
ORI0000022,ORD000006,SKU01045,3
ORI0000023,ORD000007,SKU01045,3
ORI0000024,ORD000007,SKU01044,1
ORI0000025,ORD000007,SKU01062,3
ORI0000026,ORD000008,SKU01069,3
ORI0000027,ORD000008,SKU01174,2
ORI0000028,ORD000008,SKU01184,1
ORI0000029,ORD000008,SKU01050,3
ORI0000030,ORD000009,SKU01116,3
ORI0000031,ORD000009,SKU01123,4
ORI0000032,ORD000009,SKU01113,3
ORI0000033,ORD000010,SKU01090,3
ORI0000034,ORD000010,SKU01079,3
ORI0000035,ORD000010,SKU01145,5
ORI0000036,ORD000011,SKU01046,2
ORI0000037,ORD000011,SKU01146,2
ORI0000038,ORD000011,SKU01136,5
ORI0000039,ORD000012,SKU01141,5
ORI0000040,ORD000012,SKU01182,4
ORI0000041,ORD000012,SKU01062,1
ORI0000042,ORD000013,SKU01200,2
ORI0000043,ORD000013,SKU01156,5
ORI0000044,ORD000013,SKU01153,3
ORI0000045,ORD000014,SKU01083,1
ORI0000046,ORD000014,SKU01091,1
ORI0000047,ORD000014,SKU01062,3
ORI0000048,ORD000015,SKU01005,3
ORI0000049,ORD000015,SKU01019,2
ORI0000050,ORD000015,SKU01038,3
ORI0000051,ORD000015,SKU01012,2
ORI0000052,ORD000015,SKU01018,3
ORI0000053,ORD000016,SKU01079,3
ORI0000054,ORD000016,SKU01100,1
ORI0000055,ORD000016,SKU01083,2
ORI0000056,ORD000017,SKU01082,1
ORI0000057,ORD000017,SKU01188,1
ORI0000058,ORD000017,SKU01109,1
ORI0000059,ORD000017,SKU01043,3
ORI0000060,ORD000018,SKU01113,5
ORI0000061,ORD000018,SKU01173,1
ORI0000062,ORD000018,SKU01119,2
ORI0000063,ORD000018,SKU01129,4
ORI0000064,ORD000018,SKU01195,1
ORI0000065,ORD000019,SKU01193,1
ORI0000066,ORD000019,SKU01079,3
ORI0000067,ORD000020,SKU01175,1
ORI0000068,ORD000020,SKU01091,3
ORI0000069,ORD000020,SKU01102,1
ORI0000070,ORD000021,SKU01142,2
ORI0000071,ORD000021,SKU01143,5
ORI0000072,ORD000021,SKU01136,4
ORI0000073,ORD000021,SKU01145,5
ORI0000074,ORD000021,SKU01151,2
ORI0000075,ORD000022,SKU01199,4
ORI0000076,ORD000022,SKU01135,4
ORI0000077,ORD000023,SKU01082,2
ORI0000078,ORD000023,SKU01143,4
ORI0000079,ORD000023,SKU01092,1
ORI0000080,ORD000023,SKU01080,3
ORI0000081,ORD000023,SKU01062,2
ORI0000082,ORD000024,SKU01200,4
ORI0000083,ORD000024,SKU01143,5
ORI0000084,ORD000024,SKU01155,3
ORI0000085,ORD000025,SKU01117,5
ORI0000086,ORD000025,SKU01178,3
ORI0000087,ORD000026,SKU01049,2
ORI0000088,ORD000026,SKU01184,3
ORI0000089,ORD000027,SKU01190,3
ORI0000090,ORD000027,SKU01188,2
ORI0000091,ORD000027,SKU01080,1
ORI0000092,ORD000027,SKU01088,3
ORI0000093,ORD000028,SKU01049,3
ORI0000094,ORD000028,SKU01046,4
ORI0000095,ORD000028,SKU01181,3
ORI0000096,ORD000029,SKU01004,1
ORI0000097,ORD000029,SKU01166,2
ORI0000098,ORD000029,SKU01128,4
ORI0000099,ORD000030,SKU01142,2
ORI0000100,ORD000030,SKU01199,5
ORI0000101,ORD000031,SKU01049,5
ORI0000102,ORD000031,SKU01184,2
ORI0000103,ORD000031,SKU01041,3
ORI0000104,ORD000032,SKU01012,1
ORI0000105,ORD000032,SKU01160,3
ORI0000106,ORD000032,SKU01153,3
ORI0000107,ORD000032,SKU01022,2
ORI0000108,ORD000033,SKU01049,4
ORI0000109,ORD000033,SKU01146,3
ORI0000110,ORD000034,SKU01094,1
ORI0000111,ORD000034,SKU01103,1
ORI0000112,ORD000034,SKU01105,3
ORI0000113,ORD000034,SKU01189,1
ORI0000114,ORD000035,SKU01156,3
ORI0000115,ORD000035,SKU01158,3
ORI0000116,ORD000035,SKU01159,3
ORI0000117,ORD000036,SKU01046,4
ORI0000118,ORD000036,SKU01040,2
ORI0000119,ORD000037,SKU01188,2
ORI0000120,ORD000037,SKU01105,2
ORI0000121,ORD000037,SKU01083,2
ORI0000122,ORD000037,SKU01080,3
ORI0000123,ORD000037,SKU01189,3
ORI0000124,ORD000038,SKU01099,3
ORI0000125,ORD000038,SKU01091,3
ORI0000126,ORD000038,SKU01105,3
ORI0000127,ORD000039,SKU01067,2
ORI0000128,ORD000039,SKU01117,5
ORI0000129,ORD000039,SKU01062,3
ORI0000130,ORD000040,SKU01190,2
ORI0000131,ORD000040,SKU01148,5
ORI0000132,ORD000041,SKU01143,5
ORI0000133,ORD000041,SKU01146,4
ORI0000134,ORD000041,SKU01145,5
ORI0000135,ORD000041,SKU01141,5
ORI0000136,ORD000041,SKU01158,3
ORI0000137,ORD000042,SKU01052,2
ORI0000138,ORD000042,SKU01043,1
ORI0000139,ORD000042,SKU01175,2
ORI0000140,ORD000042,SKU01062,3
ORI0000141,ORD000043,SKU01011,3
ORI0000142,ORD000043,SKU01040,2
ORI0000143,ORD000043,SKU01022,2
ORI0000144,ORD000044,SKU01052,4
ORI0000145,ORD000044,SKU01044,2
ORI0000146,ORD000044,SKU01015,2
ORI0000147,ORD000045,SKU01141,3
ORI0000148,ORD000045,SKU01153,5
ORI0000149,ORD000045,SKU01123,5
ORI0000150,ORD000046,SKU01118,4
ORI0000151,ORD000046,SKU01150,4
ORI0000152,ORD000046,SKU01139,5
ORI0000153,ORD000047,SKU01079,3
ORI0000154,ORD000047,SKU01109,1
ORI0000155,ORD000047,SKU01085,3
ORI0000156,ORD000048,SKU01119,5
ORI0000157,ORD000048,SKU01116,5
ORI0000158,ORD000048,SKU01120,5
ORI0000159,ORD000048,SKU01123,3
ORI0000160,ORD000049,SKU01052,4
ORI0000161,ORD000049,SKU01073,2
ORI0000162,ORD000049,SKU01076,3
ORI0000163,ORD000049,SKU01178,3
ORI0000164,ORD000050,SKU01084,3
ORI0000165,ORD000050,SKU01049,5
ORI0000166,ORD000050,SKU01143,3
ORI0000167,ORD000050,SKU01152,4
ORI0000168,ORD000051,SKU01005,1
ORI0000169,ORD000051,SKU01001,2
ORI0000170,ORD000051,SKU01003,2
ORI0000171,ORD000051,SKU01172,2
ORI0000172,ORD000051,SKU01169,2
ORI0000173,ORD000052,SKU01188,2
ORI0000174,ORD000052,SKU01025,1
ORI0000175,ORD000052,SKU01037,1
ORI0000176,ORD000052,SKU01189,2
ORI0000177,ORD000053,SKU01116,2
ORI0000178,ORD000053,SKU01043,1
ORI0000179,ORD000053,SKU01060,5
ORI0000180,ORD000054,SKU01038,3
ORI0000181,ORD000054,SKU01172,3
ORI0000182,ORD000054,SKU01018,1
ORI0000183,ORD000054,SKU01002,2
ORI0000184,ORD000055,SKU01180,3
ORI0000185,ORD000055,SKU01119,4
ORI0000186,ORD000055,SKU01116,2
ORI0000187,ORD000055,SKU01112,5
ORI0000188,ORD000056,SKU01046,2
ORI0000189,ORD000056,SKU01123,4
ORI0000190,ORD000056,SKU01041,3
ORI0000191,ORD000056,SKU01060,2
ORI0000192,ORD000057,SKU01038,2
ORI0000193,ORD000057,SKU01011,2
ORI0000194,ORD000057,SKU01019,3
ORI0000195,ORD000057,SKU01005,1
ORI0000196,ORD000058,SKU01020,1
ORI0000197,ORD000058,SKU01168,3
ORI0000198,ORD000058,SKU01023,1
ORI0000199,ORD000058,SKU01160,3
ORI0000200,ORD000059,SKU01094,1
ORI0000201,ORD000059,SKU01046,5
ORI0000202,ORD000059,SKU01145,4
ORI0000203,ORD000060,SKU01131,3
ORI0000204,ORD000060,SKU01093,1
ORI0000205,ORD000061,SKU01168,3
ORI0000206,ORD000061,SKU01150,4
ORI0000207,ORD000061,SKU01153,4
ORI0000208,ORD000061,SKU01148,5
ORI0000209,ORD000061,SKU01151,3
ORI0000210,ORD000062,SKU01188,1
ORI0000211,ORD000062,SKU01096,1
ORI0000212,ORD000062,SKU01189,2
ORI0000213,ORD000063,SKU01055,2
ORI0000214,ORD000063,SKU01174,1
ORI0000215,ORD000063,SKU01069,1
ORI0000216,ORD000063,SKU01151,3
ORI0000217,ORD000064,SKU01175,2
ORI0000218,ORD000064,SKU01131,4
ORI0000219,ORD000064,SKU01129,2
ORI0000220,ORD000065,SKU01156,5
ORI0000221,ORD000065,SKU01136,3
ORI0000222,ORD000065,SKU01197,3
ORI0000223,ORD000065,SKU01145,3
ORI0000224,ORD000066,SKU01142,2
ORI0000225,ORD000066,SKU01148,5
ORI0000226,ORD000066,SKU01153,5
ORI0000227,ORD000067,SKU01012,2
ORI0000228,ORD000067,SKU01172,3
ORI0000229,ORD000067,SKU01021,2
ORI0000230,ORD000067,SKU01022,2
ORI0000231,ORD000068,SKU01128,3
ORI0000232,ORD000068,SKU01096,2
ORI0000233,ORD000069,SKU01145,3
ORI0000234,ORD000069,SKU01113,4
ORI0000235,ORD000069,SKU01153,2
ORI0000236,ORD000069,SKU01060,4
ORI0000237,ORD000070,SKU01184,3
ORI0000238,ORD000070,SKU01189,3
ORI0000239,ORD000070,SKU01053,3
ORI0000240,ORD000071,SKU01142,2
ORI0000241,ORD000071,SKU01136,3
ORI0000242,ORD000072,SKU01052,5
ORI0000243,ORD000072,SKU01069,3
ORI0000244,ORD000072,SKU01041,3
ORI0000245,ORD000072,SKU01066,2
ORI0000246,ORD000073,SKU01075,4
ORI0000247,ORD000073,SKU01185,4
ORI0000248,ORD000073,SKU01136,5
ORI0000249,ORD000074,SKU01160,3
ORI0000250,ORD000074,SKU01185,5
ORI0000251,ORD000074,SKU01043,1
ORI0000252,ORD000075,SKU01082,3
ORI0000253,ORD000075,SKU01161,3
ORI0000254,ORD000075,SKU01085,1
ORI0000255,ORD000075,SKU01086,1
ORI0000256,ORD000075,SKU01194,2
